DEBUG (3): Routing Packet - src: 3, dest: 1, next hop: 1, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 3, next hop: 3, cost: 16
DEBUG (1): Routing Packet - src: 1, dest: 3, next hop: 3, cost: 16
DEBUG (3): Routing Packet - src: 3, dest: 1, next hop: 1, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 3, next hop: 3, cost: 16
DEBUG (1): Routing Packet - src: 1, dest: 3, next hop: 3, cost: 16
DEBUG (3): Routing Packet - src: 3, dest: 1, next hop: 1, cost: 1
DEBUG (3): Routing Packet - src: 3, dest: 1, next hop: 1, cost: 1
DEBUG (3): Routing Packet - src: 3, dest: 1, next hop: 1, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 3, next hop: 3, cost: 16
DEBUG (4): Routing Packet - src: 4, dest: 1, next hop: 1, cost: 1
DEBUG (4): Routing Packet - src: 4, dest: 1, next hop: 1, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 4, next hop: 4, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 4, next hop: 4, cost: 16
DEBUG (4): Routing Packet - src: 4, dest: 1, next hop: 1, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 4, next hop: 4, cost: 16
DEBUG (1): Routing Packet - src: 1, dest: 4, next hop: 4, cost: 16
DEBUG (4): Routing Packet - src: 4, dest: 1, next hop: 1, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 4, next hop: 4, cost: 16
DEBUG (4): Routing Packet - src: 4, dest: 1, next hop: 1, cost: 1
DEBUG (4): Routing Packet - src: 4, dest: 1, next hop: 1, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 4, next hop: 4, cost: 16
DEBUG (5): Routing Packet - src: 5, dest: 1, next hop: 1, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 5, next hop: 5, cost: 1
DEBUG (5): Routing Packet - src: 5, dest: 1, next hop: 1, cost: 1
DEBUG (5): Routing Packet - src: 5, dest: 1, next hop: 1, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 5, next hop: 5, cost: 1
DEBUG (6): Routing Packet - src: 6, dest: 1, next hop: 1, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 6, next hop: 6, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 6, next hop: 6, cost: 1
DEBUG (6): Routing Packet - src: 6, dest: 1, next hop: 1, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 6, next hop: 6, cost: 1
DEBUG (6): Routing Packet - src: 6, dest: 1, next hop: 1, cost: 16
DEBUG (6): Routing Packet - src: 6, dest: 1, next hop: 1, cost: 16
DEBUG (6): Routing Packet - src: 6, dest: 1, next hop: 1, cost: 16
DEBUG (1): Routing Packet - src: 1, dest: 6, next hop: 6, cost: 16
DEBUG (6): Routing Packet - src: 6, dest: 1, next hop: 1, cost: 16
DEBUG (1): Routing Packet - src: 1, dest: 6, next hop: 6, cost: 16
DEBUG (6): Routing Packet - src: 6, dest: 1, next hop: 1, cost: 16
DEBUG (1): Routing Packet - src: 1, dest: 6, next hop: 6, cost: 16
DEBUG (3): Routing Packet - src: 3, dest: 1, next hop: 1, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 3, next hop: 3, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 3, next hop: 3, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 4, next hop: 4, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 5, next hop: 5, cost: 16
DEBUG (1): Routing Packet - src: 1, dest: 6, next hop: 6, cost: 1
DEBUG (3): Routing Packet - src: 3, dest: 1, next hop: 1, cost: 1
DEBUG (5): Routing Packet - src: 5, dest: 1, next hop: 1, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 4, next hop: 4, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 5, next hop: 5, cost: 16
DEBUG (1): Routing Packet - src: 1, dest: 6, next hop: 6, cost: 1
DEBUG (6): Routing Packet - src: 6, dest: 1, next hop: 1, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 4, next hop: 4, cost: 16
DEBUG (5): Routing Packet - src: 5, dest: 1, next hop: 1, cost: 16
DEBUG (6): Routing Packet - src: 6, dest: 1, next hop: 1, cost: 16
DEBUG (1): Routing Packet - src: 1, dest: 4, next hop: 4, cost: 16
DEBUG (4): Routing Packet - src: 4, dest: 1, next hop: 1, cost: 1
DEBUG (3): Routing Packet - src: 3, dest: 1, next hop: 1, cost: 1
DEBUG (3): Routing Packet - src: 3, dest: 1, next hop: 1, cost: 1
DEBUG (3): Routing Packet - src: 3, dest: 1, next hop: 1, cost: 1
DEBUG (3): Routing Packet - src: 3, dest: 1, next hop: 1, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 3, next hop: 3, cost: 16
DEBUG (1): Routing Packet - src: 1, dest: 3, next hop: 3, cost: 16
DEBUG (1): Routing Packet - src: 1, dest: 6, next hop: 6, cost: 16
DEBUG (1): Routing Packet - src: 1, dest: 6, next hop: 6, cost: 16
DEBUG (6): Routing Packet - src: 6, dest: 1, next hop: 1, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 6, next hop: 6, cost: 1
DEBUG (1): Routing Packet - src: 1, dest: 6, next hop: 6, cost: 1
DEBUG (6): Routing Packet - src: 6, dest: 1, next hop: 1, cost: 1
